website_id,detection_date,country,region,industry,organization_size,target_type,url_length,url_depth,num_dots,num_hyphens,num_underscores,num_slashes,num_digits_in_url,num_special_characters,num_subdomains,has_ip_address,has_url_shortener,has_at_symbol,has_double_slash,has_hexadecimal_encoding,url_entropy_score,domain_age_days,domain_registration_length,days_to_domain_expiry,domain_name_length,registrar_reputation_score,domain_reputation_score,domain_name_suspicion_score,has_whois_record,domain_previously_reported,has_https,ssl_certificate_valid,ssl_certificate_age_days,ssl_expiry_days,certificate_trust_score,has_security_headers,security_header_score,has_dns_record,dns_reputation_score,uses_valid_dns,has_hsts,has_content_security_policy,has_login_form,has_password_field,has_payment_form,has_popup,has_iframe,num_external_links,num_internal_links,num_redirects,redirect_risk_score,has_downloadable_file,has_auto_download,has_obfuscated_script,javascript_risk_score,has_suspicious_javascript,has_spelling_errors,content_similarity_to_brand,fake_brand_impersonation,suspicious_word_count,has_suspicious_words,urgency_language_score,threat_language_score,reward_language_score,social_engineering_score,login_request_score,payment_request_score,attack_type,attack_channel,target_population,attack_severity,risk_score,risk_level,detection_status,reported_by,number_of_reports,previous_attack_history,phishing_probability,result
WEB-000001,2023-10-05,China,Asia,Telecommunications,Medium,Employee,58,2,1,1,1,6,0,2,1,0,0,0,0,0,2.41,3448,1517,486,19,4.39,66.0,0.0,1,0,1,1,390.0,21,7.07,1.0,7.9,1,85.0,1,1,1,1,0,0,0,0,10.0,31,1,0.0,0,0,0,2.95,0,0,0.0,0,0,0,1.49,0.26,5.28,0.0,2.07,0.0,Not Applicable,Not Applicable,Not Applicable,None,18,Low,False Positive,Third-party Vendor,1,0,0.107,Legitimate
WEB-000002,2024-03-25,United Kingdom,Europe,Social Media,Small,Government,8,3,3,2,0,2,2,4,1,0,0,0,0,0,3.43,2912,1659,708,11,7.76,75.0,2.76,1,0,0,1,572.0,345,7.03,1.0,10.0,1,89.0,1,1,0,1,0,1,0,0,19.0,24,2,0.93,0,0,0,2.72,0,0,16.0,0,4,0,1.04,0.1,2.75,3.85,0.0,0.83,Not Applicable,Not Applicable,Not Applicable,None,6,Low,False Positive,User Report,4,0,0.237,Legitimate
WEB-000003,2023-10-26,United Arab Emirates,Middle East,Government,Medium,Business,114,1,1,1,0,5,3,0,0,0,0,0,0,0,2.37,2067,662,405,8,6.86,,0.0,1,0,1,1,460.0,877,8.82,1.0,7.41,1,100.0,1,1,1,1,1,0,0,0,16.0,10,0,0.2,0,0,0,0.78,0,0,7.0,0,0,0,0.0,3.27,1.8,2.49,3.59,0.0,Not Applicable,Not Applicable,Not Applicable,None,23,Low,Resolved,Third-party Vendor,0,0,0.01,Legitimate
WEB-000004,2024-08-13,United States,North America,Telecommunications,Small,Government,50,3,3,3,1,8,1,6,4,0,0,0,0,0,6.74,0,392,254,32,2.12,0.0,9.19,1,0,0,0,0.0,0,0.0,0.0,2.35,1,,0,0,0,0,1,0,0,0,19.0,18,4,8.19,0,0,1,8.8,0,1,51.0,1,5,1,9.42,6.98,2.44,5.66,6.32,5.14,Malware Delivery,Malicious Ad,Executives,Medium,86,Critical,Confirmed,User Report,0,0,0.715,Phishing
WEB-000005,2026-02-19,Spain,Europe,Banking,Large,Individual,74,5,2,5,2,9,4,1,2,0,0,1,1,0,5.74,41,30,52,15,5.34,22.0,6.52,0,1,1,0,0.0,235,0.67,1.0,1.31,1,27.0,0,0,0,1,1,0,0,1,1.0,0,4,7.11,0,0,0,7.22,0,1,97.0,1,10,1,5.72,5.64,4.23,7.46,6.13,4.77,Business Email Compromise,Website,Customers,Medium,81,Critical,Under Investigation,Automated System,0,1,0.875,Phishing
WEB-000006,2023-11-12,South Korea,Asia,Retail,Small,Business,53,3,4,2,2,3,0,3,2,0,0,0,1,0,3.16,2511,995,670,21,7.09,68.0,1.37,1,0,1,1,626.0,374,8.8,1.0,6.46,1,100.0,1,1,1,0,1,0,0,0,15.0,16,0,0.17,0,0,0,1.76,0,0,8.0,0,1,0,1.92,2.29,1.43,1.64,1.31,0.0,Not Applicable,Not Applicable,Not Applicable,None,2,Low,Resolved,User Report,2,0,0.047,Legitimate
WEB-000007,2026-01-03,Spain,Europe,Technology,Medium,Customer,88,2,5,4,0,6,4,0,2,0,0,1,0,0,3.61,345,875,1,20,2.42,39.0,4.6,0,0,1,0,55.0,0,2.54,0.0,0.31,1,45.0,1,0,0,1,0,1,0,0,0.0,19,6,9.49,0,0,0,6.39,1,1,47.0,1,5,1,7.9,7.66,5.16,8.71,8.63,2.13,Whaling,Malicious Ad,Employees,Medium,73,High,Confirmed,User Report,3,0,0.63,Phishing
WEB-000008,2025-01-04,United States,North America,Logistics,Medium,Business,103,6,6,0,0,5,5,7,3,0,0,0,1,0,4.68,399,30,344,26,4.04,11.0,5.52,1,0,0,1,0.0,298,2.83,0.0,1.56,1,22.0,1,0,0,1,0,1,0,1,9.0,0,0,8.52,0,0,0,8.23,0,0,82.0,0,15,1,7.31,4.61,1.08,6.59,7.1,6.66,Credential Harvesting,SMS,Executives,Medium,92,Critical,Resolved,Security Team,8,0,0.884,Phishing
WEB-000009,2025-08-12,Nigeria,Africa,E-commerce,Small,Business,103,4,6,3,0,6,0,11,4,0,0,0,0,0,6.33,0,187,130,28,2.04,0.0,7.02,0,0,0,0,0.0,0,2.09,0.0,1.51,0,43.0,1,0,0,1,0,1,0,0,3.0,6,3,7.91,0,0,1,9.71,0,0,81.0,0,17,1,8.6,6.24,6.02,10.0,8.01,4.93,Clone Phishing,Email,Students,Low,72,High,Resolved,Security Team,5,0,0.797,Phishing
WEB-000010,2026-06-03,Mexico,North America,E-commerce,Medium,Individual,98,5,3,2,1,5,14,4,3,1,0,0,1,0,5.76,0,653,106,25,2.83,21.0,5.48,0,0,1,0,0.0,190,3.13,0.0,0.46,0,,1,0,0,1,0,0,1,0,0.0,0,2,4.79,0,0,1,7.57,0,0,73.0,1,5,1,6.59,4.32,6.85,6.29,8.41,6.85,Clone Phishing,SMS,Customers,Low,84,Critical,Confirmed,User Report,5,0,0.706,Phishing
